occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Atmospheric and space scientists,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,Life Physical And Social Science,$46.85     per hour,"$97,450",Bachelor's degree,None,None,9400,1% (Slower than average),"Atmospheric scientists study the weather and climate. They may compile data, prepare reports and forecasts, and assist in developing new data collection instruments. Atmospheric scientists typically do the following: Atmospheric scientists use instruments such as radar systems, satellites, and weather balloons to monitor the weather and to collect data. They also use graphics software to illustrate data in forecasts and reports for their clients or the public. The data that atmospheric scientist",2025-10-01T12:40:08.722425
Web and digital interface designers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,Computer And Information Technology,$45.85     per hour,"$95,380",Bachelor's degree,None,None,214900,7% (Much faster than average),"Web developers create and maintain websites. They are also responsible for the site’s technical aspects, such as its performance and capacity, which are measures of a website’s speed and how much traffic the site can handle. In addition, web developers may create content for the site. Digital designers develop, create, and test website or interface layout, functions, and navigation for usability. They are responsible for the look and functionality of the website or interface. Web developers and ",2025-10-01T12:40:09.282712
Software developers,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,Computer And Information Technology,$63.20     per hour,"$131,450",Bachelor's degree,None,None,1895500,15% (Much faster than average),"Software developers create the computer applications that allow users to do specific tasks and the underlying systems that run the devices or control networks. Software quality assurance analysts and testers design and execute software tests to identify problems and learn how the software works. Software developers typically do the following: Software quality assurance analysts and testers typically do the following: Software developers, quality assurance analysts, and testers are involved in th",2025-10-01T12:40:09.864056
Optometrists,https://www.bls.gov/ooh/healthcare/optometrists.htm,Healthcare,$64.82     per hour,"$134,830",Doctoral or professional degree,None,None,47800,8% (Much faster than average),"Optometrists diagnose, manage, and treat conditions and diseases of the human eye and visual system, including examining eyes and prescribing corrective lenses. Optometrists typically do the following: Optometrists are doctors who focus on eyes and vision. Their tasks range from offering preventive care through routine checkups to providing referrals to other specialists for treatment of health conditions, such as autoimmune diseases, that may lead to serious eye problems. Some optometrists prov",2025-10-01T12:40:10.423012
Aerospace engineers,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,Architecture And Engineering,$64.82     per hour,"$134,830",Bachelor's degree,None,None,71600,6% (Faster than average),"Aerospace engineers design, develop, and test aircraft, spacecraft, satellites, and missiles. In addition, they create and test prototypes to make sure that they function according to design. Aerospace engineers typically do the following: Aerospace engineers develop technologies for use in aviation, defense systems, and spacecraft. They may focus on areas such as aerodynamic fluid flow; structural design; guidance, navigation, and control; instrumentation and communication; robotics; or propuls",2025-10-01T12:40:10.983476
Fashion designers,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,Arts And Design,$38.79     per hour,"$80,690",Bachelor's degree,None,None,25700,2% (Slower than average),"Fashion designers create original clothing, accessories, and footwear. They sketch designs, select fabrics and patterns, and give instructions on how to make the products they design. Fashion designers typically do the following: Larger apparel companies typically employ a team of designers headed by a creative director. Some fashion designers specialize in clothing, footwear, or accessory design; others create designs in all three fashion categories. For some fashion designers, the first step i",2025-10-01T12:40:11.533410
File clerks,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,Office And Administrative Support,$21.02     per hour,"$43,730",See How to Become One,None,See How to Become One,1336600,-3% (Decline),"Information clerks do routine clerical tasks such as maintaining records, collecting data, and providing information to customers. Information clerks typically do the following: Information clerks do routine clerical tasks in an organization, business, or government. They use telephones, computers, and other office equipment, such as scanners and shredders. The following are examples of types of information clerks: Correspondence clerksrespond to inquiries from the public or customers. They prep",2025-10-01T12:40:12.103964
Film and video editors,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Media And Communication,$33.93     per hour,"$70,570",Bachelor's degree,None,None,79900,3% (As fast as average),"Film and video editors and camera operators manipulate images that entertain or inform an audience. Camera operators capture a wide range of material for television, movies, and other media. Editors arrange footage shot by camera operators and collaborate withproducers and directorsto create the final content. Film and video editors and camera operators typically do the following: Many camera operators supervise one or more assistants. The assistants set up the camera equipment and may be respon",2025-10-01T12:40:12.688483
Financial examiners,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,Business And Financial,$43.46     per hour,"$90,400",Bachelor's degree,None,Long-term on-the-job training,65100,19% (Much faster than average),"Financial examiners ensure compliance with laws that govern institutions handling monetary transactions. They review balance sheets, evaluate the risk level of loans, and assess bank management. Financial examiners typically do the following: Financial examiners typically work in one of two main areas: risk assessment or consumer compliance. Those working in risk assessment evaluate the health of financial institutions. Their role is to ensure that banks and other financial institutions offer sa",2025-10-01T12:40:13.231216
Financial risk specialists,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,Business And Financial,$48.99     per hour,"$101,910",Bachelor's degree,None,None,429000,6% (Faster than average),"Financial analysts guide businesses and individuals in decisions about expending money to attain profit. They assess the performance of stocks, bonds, and other types of investments. Financial analysts typically do the following: Financial analysts evaluate opportunities to commit money for the purpose of generating profit. Financial analysts can be divided into two categories: buy-side analysts and sell-side analysts. Analysts may work for the business media or other research houses, which are ",2025-10-01T12:40:13.791959
